sourceUrl,targetUrl
search.wellcomelibrary.org,https://wellcomecollection.org/collections/
search.wellcomelibrary.org/iii/encore/search?target=erythromelalgia&submit=Search,https://wellcomecollection.org/works?query=erythromelalgia
search.wellcomelibrary.org/iii/encore/search/C__Srosalind%20paget,https://wellcomecollection.org/works?query=rosalind%20paget
search.wellcomelibrary.org/iii/encore/record/C__Rb2475299,https://wellcomecollection.org/works/tsayk6g3
search.wellcomelibrary.org/iii/encore/record/C__Rb3185463?lang=eng,https://wellcomecollection.org/works/jg6dqsx4
search.wellcomelibrary.org/iii/encore/record/C__Rb3153458__Sdrugscope__P0%2C1__Orightresult__U__X7?lang=eng&suite=cobalt,https://wellcomecollection.org/works/psspw62x
search.wellcomelibrary.org/iii/encore/myaccount?lang=eng&suite=cobalt,https://wellcomecollection.org/account
