libraryPageTitle,sourceUrl,targetUrl,collectionPageTitle,section
Local history London archives guide,wellcomelibrary.org/content/documents/local-history-london-archives.pdf,https://wellcomecollection.org/collections,Collections section,pdf
Local history UK archives guide,wellcomelibrary.org/content/documents/local-history-non-london-archives.pdf,https://wellcomecollection.org/collections,Collections section,pdf
Malaria archives guide,wellcomelibrary.org/content/documents/malaria-archives.pdf,https://wellcomecollection.org/collections,Collections section,pdf
Maritime medicine archives guide,wellcomelibrary.org/content/documents/maritime-medicine-archives.pdf,https://wellcomecollection.org/collections,Collections section,pdf
Mothers and babies archives guide,wellcomelibrary.org/content/documents/mothers-and-babies-archives.pdf,https://wellcomecollection.org/collections,Collections section,pdf
Neurology and neuroscience archives guide,wellcomelibrary.org/content/documents/neurology-and-neurosciences-archives.pdf,https://wellcomecollection.org/collections,Collections section,pdf
Nursing midwifery and health visitor archives guide,wellcomelibrary.org/content/documents/nursing-midwifery-and-health-visiting-archives.pdf,https://wellcomecollection.org/collections,Collections section,pdf
Nutrition archives guide,wellcomelibrary.org/content/documents/nutrition-archives.pdf,https://wellcomecollection.org/collections,Collections section,pdf
Groups archvie guide,wellcomelibrary.org/content/documents/-groups-archives.pdf,https://wellcomecollection.org/collections,Collections section,pdf
Psychiatry personal papers archives guide,wellcomelibrary.org/content/documents/psychiatry-personal-papers.pdf,https://wellcomecollection.org/collections,Collections section,pdf
Psychology psychiatry institutions archives guide,wellcomelibrary.org/content/documents/psychiatry-psychology-psychoanalysis-institutions-archives.pdf,https://wellcomecollection.org/collections,Collections section,pdf
Public health archives guide,wellcomelibrary.org/content/documents/public-health-archives.pdf,https://wellcomecollection.org/collections,Collections section,pdf
Radiology radiotherapy archives guide,wellcomelibrary.org/content/documents/radiology-radiotherapy-radiobiology-archives.pdf,https://wellcomecollection.org/collections,Collections section,pdf
Refugee scientists medical practitioners archives guide,wellcomelibrary.org/content/documents/refugee-scientists-medical-practitioners-archives.pdf,https://wellcomecollection.org/collections,Collections section,pdf
sex archives guide,wellcomelibrary.org/content/documents/sex-archives.pdf,https://wellcomecollection.org/collections,Collections section,pdf
Sexually transmitted diseases archives guide,wellcomelibrary.org/content/documents/sexually-transmitted-diseases-archives.pdf,https://wellcomecollection.org/collections,Collections section,pdf
Slavery and anti-slavery archive,wellcomelibrary.org/content/documents/slavery-and-anti-slavery-archives.pdf,https://wellcomecollection.org/collections,Collections section,pdf
Smoking and tobacco archives guide,wellcomelibrary.org/content/documents/smoking-tobacco-archives.pdf,https://wellcomecollection.org/collections,Collections section,pdf
South asia archives guide,wellcomelibrary.org/content/documents/south-asia-archives.pdf,https://wellcomecollection.org/collections,Collections section,pdf
Teeth archives guide,wellcomelibrary.org/content/documents/teeth-archives.pdf,https://wellcomecollection.org/collections,Collections section,pdf
Topographical photogrpahs archives guide,wellcomelibrary.org/content/documents/topographical-photographs.pdf,https://wellcomecollection.org/collections,Collections section,pdf
Travel writing archives guide,wellcomelibrary.org/content/documents/travel-writing-archives.pdf,https://wellcomecollection.org/collections,Collections section,pdf
Tropical medicine archives guide,wellcomelibrary.org/content/documents/tropical-medicine-archives.pdf,https://wellcomecollection.org/collections,Collections section,pdf
Tuberculosis archives guide,wellcomelibrary.org/content/documents/tuberculosis-archives.pdf,https://wellcomecollection.org/collections,Collections section,pdf
Vaccination and vaccines archives guides,wellcomelibrary.org/content/documents/vaccination-and-vaccines-archives.pdf,https://wellcomecollection.org/collections,Collections section,pdf
Veterinary medicine post 1800 archvies guide,wellcomelibrary.org/content/documents/veterinary-medicine-post-1800-archives.pdf,https://wellcomecollection.org/collections,Collections section,pdf
Veterinary medicine pre 1800 archvies guide,wellcomelibrary.org/content/documents/veterinary-medicine-pre-1800-archives.pdf,https://wellcomecollection.org/collections,Collections section,pdf
War medicine general archives guide,wellcomelibrary.org/content/documents/war-medicine-health-general-archives.pdf,https://wellcomecollection.org/collections,Collections section,pdf
War medicine WW1 guide,wellcomelibrary.org/content/documents/war-medicine-health-world-war-one-archives.pdf,https://wellcomecollection.org/collections,Collections section,pdf
War medicine WW2 guide,wellcomelibrary.org/content/documents/war-medicine-health-world-war-two-archives.pdf,https://wellcomecollection.org/collections,Collections section,pdf
Womens health and science pre 1900 archives guide,wellcomelibrary.org/content/documents/womens-health-since-1900-archives.pdf,https://wellcomecollection.org/collections,Collections section,pdf
Wellcome Library [home],wellcomelibrary.org/,https://wellcomecollection.org/,Collections section,Remaining
databases a-z,wellcomelibrary.org/using-the-library/how-to/databases-a-z/,https://wellcomecollection.org/pages/YDaP2BMAACUAT7DS#databases-only-accessible-in-the-library,Databases ,Using the Library
printed catalogues,wellcomelibrary.org/using-the-library/how-to/printed-catalogues/,https://wellcomecollection.org/collections,Collections section,Using the Library
searching archives and manuscripts,wellcomelibrary.org/using-the-library/how-to/searching-archives-and-manuscripts/,https://wellcomecollection.org/collections,Collections section,Using the Library
