libraryPageTitle,sourceUrl,targetUrl,collectionPageTitle,section
malcolm ferguson-smith,wellcomelibrary.org/collections/digital-collections/makers-of-modern-genetics/digitised-archives/malcolm-ferguson-smith/,https://wellcomecollection.org/works/jke5ywsv,archive catalogue page,Codebreakers
rosalind franklin,wellcomelibrary.org/collections/digital-collections/makers-of-modern-genetics/digitised-archives/rosalind-franklin/,https://wellcomecollection.org/works/ka25u4ft,archive catalogue page,Codebreakers
francis galton,wellcomelibrary.org/collections/digital-collections/makers-of-modern-genetics/digitised-archives/francis-galton/,https://wellcomecollection.org/works/hm5hrdp5,archive catalogue page,Codebreakers
hans gruneberg,wellcomelibrary.org/collections/digital-collections/makers-of-modern-genetics/digitised-archives/hans-gruneberg/,https://wellcomecollection.org/works/emeb9jnr,archive catalogue page,Codebreakers
j b s haldane,wellcomelibrary.org/collections/digital-collections/makers-of-modern-genetics/digitised-archives/j-b-s-haldane/,https://wellcomecollection.org/works/g6djvdbe,archive catalogue page,Codebreakers
peter medawar,wellcomelibrary.org/collections/digital-collections/makers-of-modern-genetics/digitised-archives/peter-medawar/,https://wellcomecollection.org/works/w6x2fer2,archive catalogue page,Codebreakers
medical research council blood group unit,wellcomelibrary.org/collections/digital-collections/makers-of-modern-genetics/digitised-archives/mrc-blood-group-unit/,https://wellcomecollection.org/works/jpgzdtcw,archive catalogue page,Codebreakers
arthur mourant,wellcomelibrary.org/collections/digital-collections/makers-of-modern-genetics/digitised-archives/arthur-mourant/,https://wellcomecollection.org/works/xk7t2xw9,archive catalogue page,Codebreakers
lionel penrose,wellcomelibrary.org/collections/digital-collections/makers-of-modern-genetics/digitised-archives/lionel-penrose/,https://wellcomecollection.org/works/quedyxap,archive catalogue page,Codebreakers
guido pontecorvo,wellcomelibrary.org/collections/digital-collections/makers-of-modern-genetics/digitised-archives/guido-pontecorvo/,https://wellcomecollection.org/works/uad4jhwg,archive catalogue page,Codebreakers
robert race and ruth sanger,wellcomelibrary.org/collections/digital-collections/makers-of-modern-genetics/digitised-archives/robert-race-ruth-sanger/,https://wellcomecollection.org/works/jad7chzx,archive catalogue page,Codebreakers
james renwick,wellcomelibrary.org/collections/digital-collections/makers-of-modern-genetics/digitised-archives/james-renwick/,https://wellcomecollection.org/works/nw4dbfuv,archive catalogue page,Codebreakers
frederick sanger,wellcomelibrary.org/collections/digital-collections/makers-of-modern-genetics/digitised-archives/fred-sanger/,https://wellcomecollection.org/works/vm5aw6a5,archive catalogue page,Codebreakers
james watson,wellcomelibrary.org/collections/digital-collections/makers-of-modern-genetics/digitised-archives/james-watson/,https://wellcomecollection.org/works/an4uu8sz,archive catalogue page,Codebreakers
maurice wilkins and the medical research council biophysics unit,wellcomelibrary.org/collections/digital-collections/makers-of-modern-genetics/digitised-archives/maurice-wilkins-mrc-biophysics-unit-archive/,https://wellcomecollection.org/works/cbjzx6u8,archive catalogue page,Codebreakers
gerard wyatt,wellcomelibrary.org/collections/digital-collections/makers-of-modern-genetics/digitised-archives/gerard-wyatt/,https://wellcomecollection.org/works/aj393duc,archive catalogue page,Codebreakers
digitised archives,wellcomelibrary.org/collections/digital-collections/makers-of-modern-genetics/digitised-archives/,https://wellcomecollection.org/pages/YA64vRMAACAAgRjZ,Accessing our collections,Codebreakers
genetics in context,wellcomelibrary.org/collections/digital-collections/makers-of-modern-genetics/history-of-genetics-article/,https://wellcomecollection.org/collections,Collections section,Codebreakers
history of genetics timeline,wellcomelibrary.org/collections/digital-collections/makers-of-modern-genetics/genetics-timeline/,https://wellcomecollection.org/collections,Collections section,Codebreakers
browse by subject,wellcomelibrary.org/collections/digital-collections/makers-of-modern-genetics/browse-by-subject/,https://wellcomecollection.org/collections,Collections section,Codebreakers
codebreakers,wellcomelibrary.org/collections/digital-collections/makers-of-modern-genetics/,https://wellcomecollection.org/collections,Collections section,Codebreakers
contact us,wellcomelibrary.org/using-the-library/services-and-facilities/contact-us/,https://wellcomecollection.org/pages/Wuw19yIAAK1Z3Smm,The library,Remaining
request and delivery,wellcomelibrary.org/using-the-library/how-to/request-and-delivery/,https://wellcomecollection.org/pages/YCAVKxIAACIAV1oF,Library facilities,Remaining
search the catalogues,wellcomelibrary.org/search-the-catalogues/,https://wellcomecollection.org/collections,Collections section,Remaining
archives and manuscripts guides,wellcomelibrary.org/collections/archive-guides/,https://wellcomecollection.org/collections,Collections section,Remaining
wellcome library open access fund,wellcomelibrary.org/what-we-do/wellcome-library-open-access-fund/,https://wellcomecollection.org/collections,Collections section,Remaining
guide to the wellcome library open access fund,wellcomelibrary.org/what-we-do/wellcome-library-open-access-fund/guide-to-the-open-access-fund/,https://wellcomecollection.org/collections,Collections section,Remaining
library strategy and policy,wellcomelibrary.org/what-we-do/library-strategy-and-policy/,https://wellcomecollection.org/pages/Wvmu3yAAAIUQ4C7F,Policies and plans,Remaining
transforming the wellcome library 2009-2014,wellcomelibrary.org/what-we-do/library-strategy-and-policy/transforming-the-wellcome-library/,https://wellcomecollection.org/pages/Wvmu3yAAAIUQ4C7F,Policies and plans,Remaining
collection and development policy,wellcomelibrary.org/what-we-do/library-strategy-and-policy/collection-development-policy/,https://wellcomecollection.org/pages/Wvmu3yAAAIUQ4C7F,Policies and plans,Remaining
