sourceUrl,targetUrl
wellcomelibrary.org/collections/browse/authors/Wellcome Historical Medical Library./,https://wellcomecollection.org/collections
wellcomelibrary.org/collections/browse/collections/digramc/,https://wellcomecollection.org/collections
